Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2021-05-31,87.68448638916016,88.22455565494559,85.94854189530385,86.79722469281533,16430926
2021-06-01,90.7320327758789,91.38783286443396,88.10882653534509,88.22455734775212,51620011
2021-06-02,90.8477783203125,92.12080569059891,89.49759902468153,91.04066107683121,27162991
2021-06-03,94.51253509521484,95.51552761809768,91.38783260080679,91.65787312441545,64241347
2021-06-04,96.78855895996094,97.75297268370035,95.16834508134158,96.132758805081,72354379
2021-06-07,96.55709838867188,98.3701949217312,96.36421565353123,97.94585054989619,28709907
2021-06-08,96.28705596923828,97.13573875813091,94.6282634035811,97.02000794911977,15261479
2021-06-09,95.70841979980469,98.75596479641848,94.93688882483266,97.98443382144646,29718157
2021-06-10,95.63125610351562,96.28706210090341,94.4739597123332,95.47695227255018,12245640
2021-06-11,95.32264709472656,97.67581285842688,94.51253727781975,95.63125475229701,18360366
2021-06-14,96.28705596923828,97.0585868475613,93.54811899666618,95.97844244064639,19547491
2021-06-15,96.71141052246094,99.14173437107708,96.32564501907153,96.90429327415563,32779493
2021-06-16,97.75296783447266,98.94884314711146,97.29005044730451,97.98442947121369,31654780
2021-06-17,96.51851654052734,97.98442646010665,95.28406825057615,96.9042819990317,18124616
2021-06-18,92.77659606933594,96.09418148496876,91.73503047159994,96.09418148496876,87912730
2021-06-21,93.316650390625,94.12676010672448,91.77358874953116,92.12078115056508,15669821
2021-06-22,94.16533660888672,95.82412312185097,93.74099231384622,94.66682692044547,23629008
2021-06-23,95.1683349609375,95.97844475725549,93.93388670308777,95.28406577274201,21978870
2021-06-24,94.12677001953125,96.01701837441442,93.62527375609889,96.01701837441442,24358397
2021-06-25,93.27809143066406,96.40278819272415,92.85374706092452,94.85972631921875,34557609
2021-06-28,94.39680480957031,96.0555974283671,93.972466344687,94.55111452196633,23728169
2021-06-29,92.12079620361328,94.47396205901391,91.88933456510189,93.97247165276252,20857415
2021-06-30,90.80918884277344,93.31666438560455,90.30769844325835,92.8537470011139,19094044
2021-07-01,91.69644927978516,92.39082828970541,90.50057987755221,90.84776643935542,16012542
2021-07-02,91.38783264160156,93.23950797665835,91.04064609154064,92.58370788970234,20014124
2021-07-05,93.316650390625,93.70241580089845,91.73501574029162,91.92789844542835,12050022
2021-07-06,93.74100494384766,96.44136311095437,93.39381839117368,94.8983013011791,30193164
2021-07-07,92.50656127929688,92.89232675094838,90.88634747562328,92.50656127929688,18479814
2021-07-08,90.30770874023438,92.12080546990367,90.15339900360034,92.12080546990367,17151883
2021-07-09,90.9635009765625,91.5421491941153,89.96050837827869,90.34627385664722,11240925
2021-07-12,91.46500396728516,92.08222524604228,91.04065955550911,91.81219056869139,8420962
2021-07-13,92.89231872558594,93.20093225350752,91.5035607930956,91.81217432101717,8580799
2021-07-14,93.20093536376953,93.93388736651876,92.66086020030527,92.81516991257233,12709481
2021-07-15,90.19195556640625,92.12078264915097,89.65188045144984,91.96647295074352,28589465
2021-07-16,90.11482238769531,90.57773980649324,89.30471249006317,90.42343007601771,19691248
2021-07-19,88.4174575805664,89.92194666713512,88.10884398181015,88.57176732310194,14395883
2021-07-20,86.87438201904297,87.37587830356684,86.10285108479513,86.450043536995,18634406
2021-07-22,89.11183166503906,89.34329332259092,87.91595624487854,88.26314873120634,11710140
2021-07-23,88.95751953125,90.0762370371429,88.53317516070364,89.11182336436836,7841690
2021-07-26,88.37886047363281,89.1889643274849,88.0316680622849,88.61031619488489,8149770
2021-07-27,88.45601654052734,89.42043014021405,87.95452029142757,88.99608580182651,9704729
2021-07-28,88.22456359863281,88.88036373365256,87.5301845613061,88.64890797875303,11020097
2021-07-29,88.5331802368164,89.34329012292083,87.41446266678103,88.18599364923695,14142749
2021-07-30,88.95751953125,90.0762370371429,87.80022312392055,88.18598859303036,12236156
2021-08-02,90.34627532958984,90.6548888945789,88.57175763195254,88.68748256829855,10895726
2021-08-03,90.9635009765625,91.19495673179517,88.84179084553557,89.61332180227264,15163353
2021-08-04,90.53915405273438,91.42641580532307,89.96050585143487,90.8091887027447,14304543
2021-08-05,90.15338897705078,90.46200252968134,88.49459628218615,89.65189268981534,11033147
2021-08-06,89.99909210205078,91.19496161726963,89.6133266030161,89.6133266030161,6606584
2021-08-09,88.72604370117188,90.26910533075748,88.18597448534211,89.49757451596467,8294214
2021-08-10,88.61032104492188,89.26612112050077,87.8773690580361,88.80320376634587,14300982
2021-08-11,90.26911163330078,90.50057324842435,88.61031908841761,89.11181533030974,11308648
2021-08-12,89.69047546386719,90.96350274448814,88.95752339524728,89.57474464084453,13519139
2021-08-13,89.57474517822266,90.23054533086646,88.99609694595208,90.11482039346372,10342014
2021-08-16,89.11183166503906,91.31069386652388,88.49460450244374,90.19197625642364,14771886
2021-08-17,87.83879089355469,89.49758348893121,86.95152919032412,89.49758348893121,16025745
2021-08-18,87.3373031616211,88.91894399943386,87.10584740317245,87.87737837062957,10074307
2021-08-20,85.022705078125,86.21858035933481,83.7111048679,85.36989752411193,23878081
2021-08-23,86.21857452392578,86.41145724098155,83.71109920220087,85.13843013115084,16886027
2021-08-24,87.3373031616211,88.88036509653534,86.48862027468108,87.29873014503673,17368602
2021-08-25,89.22754669189453,90.42341601395584,87.41445031654688,87.56875413671175,18637317
2021-08-26,89.15039825439453,89.69046753232176,88.26313653810239,89.18897126778154,8779246
2021-08-27,89.99909210205078,90.26912677411217,88.68748587354428,89.11183027700817,9706825
2021-08-30,92.6994400024414,92.89232272991785,90.07623373149903,90.07623373149903,15933414
2021-08-31,93.008056640625,93.35524320711765,91.85076023723099,92.58371227152163,13376290
2021-09-01,92.35224151611328,94.31964756211839,92.12078579008013,93.97246102991198,10964080
2021-09-02,91.54215240478516,92.69944888048076,91.0406560880542,91.73503515073442,13031666
2021-09-03,94.97544860839844,95.28406213264945,91.65786941006183,92.54512519860259,21326802
2021-09-06,93.85673522949219,95.93986630645888,93.47096977921586,95.5155278429431,12505630
2021-09-07,92.54512786865234,94.70541671442327,92.23652022181096,94.51253399199062,8530847
2021-09-08,93.21121215820312,93.64220377199328,92.07497023606034,93.25039538801005,7801721
2021-09-09,95.71878051757812,97.01174926040545,92.62349098432227,93.32874720573,27242637
2021-09-13,96.42404174804688,96.69830640991941,94.89598552586347,95.75796273968626,9921031
2021-09-14,97.12928771972656,98.26553552354868,96.22813329618751,96.61994164677701,16593684
2021-09-15,100.65556335449219,102.41870094054339,97.36437558527169,97.36437558527169,42437332
2021-09-16,100.85147857666016,102.84970378445247,99.83278033581287,101.59591213645325,22431820
2021-09-17,100.1070327758789,101.63508293956222,97.75618269112245,100.8514662446434,25968166
2021-09-20,100.69475555419922,101.40000586864875,97.99128007275189,97.99128007275189,29857432
2021-09-21,105.9449691772461,106.57186489154579,101.16491476442356,101.55672309123071,51537119
2021-09-22,104.73037719726562,105.98416882009882,103.79003945866228,105.39645623884134,16424387
2021-09-23,107.94320678710938,108.41338161763797,105.31808590456951,105.63153977726945,18688982
2021-09-24,106.65025329589844,109.62798762702843,105.39646160917994,108.84437081209029,33667173
2021-09-27,109.70632934570312,110.29404182434082,107.74728775024414,108.17827929265331,34196564
2021-09-28,111.43029022216797,112.52736075545774,110.48995259152082,111.11684833096615,46109879
2021-09-29,113.42852020263672,116.60217030955936,109.19699469810136,110.37241977792144,68003697
2021-09-30,113.23260498046875,114.44721316924532,110.76421733637531,113.42850914133462,26714630
2021-10-01,114.60395050048828,117.26824268657141,112.91917925885377,113.78115051574288,42893182
2021-10-04,115.6618423461914,116.36709267046785,115.19166749197828,115.8185633119147,16099471
2021-10-05,128.23887634277344,128.98332182083846,116.75889573915666,117.54251248908388,131238378
2021-10-06,131.7259979248047,135.36981151266062,129.9236767694067,130.08039774877952,101221817
2021-10-07,125.69212341308594,133.3323868165152,124.9868731125096,133.3323868165152,59769140
2021-10-08,126.12311553955078,130.55055742213267,125.77049038781595,128.4347825976379,30561341
2021-10-11,129.29676818847656,130.23710592934776,127.49444721019827,128.31724721735173,18143592
